word,count
"#",1
Felipe,1
Reis,1
🔬🧬🎲🎲🤘,1
"##",2
Sobre,1
mim,1
![Foto,1
de,14
perfil](/img/perfil.jpg),1
-,13
**📍,1
Localização,1
atual**:,2
Guaratinguetá/,1
SP,1
**🏫,1
Instituição,1
ensino**:,1
Universidade,1
Virtual,1
do,1
Estado,1
São,3
Paulo,1
Univesp,1
**📚,1
Curso,1
Bacharelado,1
em,10
Ciência,1
Dados,1
(4o.,1
"semestre,",1
8),1
**🎓,1
Formações,1
anteriores**:,1
Ciências,1
Sociais,2
"(UNESP,",1
"Araraquara,",1
"2008),",1
Controladoria,2
Empresas,1
"(UNIP,",1
"Paulo,",2
Campus,1
"Paraíso,",1
"2012),",1
Empreendedorismo,1
Negócios,1
"(Artemísia,",1
2012),1
**💼,2
Experiência**:,1
20,1
anos,1
experiência,1
Administração,1
e,10
"Finanças,",1
circulando,1
por,1
"multinacionais,",1
pequenas,2
empresas,1
também,1
no,2
3o.,1
setor.,1
Foco,1
recente,1
Modelagem,1
Econômico-Financeira,1
3,1
startups,1
tecnologia,1
😃,1
Perfil,1
linkedin**:,1
https://www.linkedin.com/in/felipecsr/,1
**👨‍💻,1
Conhecimentos**:,1
Excel/,1
Sheets,1
"avançado,",1
"SQL,",1
"BigQuery,",1
Looker,1
"Studio,",1
Metabase.,1
Engatinhando,1
Python.,1
**🎯,1
Objetivos,1
programa,1
bolsas**:,1
adquirir,1
conhecimento,1
prático,1
nas,1
áreas,1
ciência,1
engenharia,1
"dados,",1
com,2
foco,1
aprimorar,1
habilidades,1
técnicas.,1
Tenho,1
interesse,1
especial,1
análises,1
preditivas,1
visualização,1
dados,1
para,2
embasar,1
tomadas,1
decisão.,1
Além,2
"disso,",1
"busco,",1
se,1
"possível,",1
uma,1
oportunidade,1
efetivação,1
na,1
Compass,1
UOL,1
**🚴‍♂️,1
Hobbies**:,1
Amo,1
música,1
toco,1
alguns,1
instrumentos.,1
Realizo,1
ensaios,1
a,1
banda,1
gravações,1
casa,1
💛,1
disso,1
tenho,1
praticado,1
natação,1
musculação,1
dias,1
alternados,1
está,1
sendo,1
ótimo,1
o,1
corpo,1
mente!,1
**🤍,1
Trabalhos,1
voluntários**:,1
*Atualmente*:,1
APAE,1
Guaratinguetá,2
(2024),1
||,1
*Anteriormente*:,1
[House,1
of,1
Genius,1
"(2015-2017)](http://houseofgenius.org/),",1
Rotary,1
Club,1
(2000-2002),1
Sprints,1
1.,1
[Sprint01](Sprint01/README.md),1
2.,1
[Sprint02](Sprint02/README.md),1
3.,1
[Sprint03](Sprint03/README.md),1
4.,1
[Sprint04](Sprint04/README.md),1
5.,1
[Sprint05](Sprint05/README.md),1
6.,1
[Sprint06](Sprint06/README.md),1
7.,1
[Sprint07](Sprint07/README.md),1
